Serotype,Region,Subregion,Country,Admin.level.1,Latitude,Longitude,Animal.type,Species,Report.date
H5N1,Asia,Western Asia,Israel,Northern,33.0511,35.6089,Wild,Crane,22/02/2024
H5N1,Asia,Western Asia,Israel,Northern,33.0511,35.6089,Wild,Grey Heron:ardea Cinerea(Ardeidae),22/02/2024
H5Nx,Asia,Eastern Asia,Republic of Korea,Cheju-do,33.51639,126.883305,Wild,Unspecified Bird,30/01/2024
H5N1,Asia,Eastern Asia,Republic of Korea,Cheju-do,33.505611,126.892194,Wild,Gadwall,19/02/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,41.7689,140.7286,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5Nx,Asia,Eastern Asia,Republic of Korea,Chungchongbuk-do,36.633333,127.483333,Wild,Unspecified Bird,29/01/2024
H5N1,Asia,Western Asia,Israel,Haifa,32.5374,34.9115,Wild,Herring Gull:larus Argentatus(Laridae),22/02/2024
H5N1,Asia,Eastern Asia,Republic of Korea,Chungchongbuk-do,36.589347,127.487617,Wild,Unspecified Bird,6/02/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.976667,144.385056,Wild,Whooper Swan:cygnus Cygnus(Anatidae),5/02/2024
H5N1,Asia,Eastern Asia,Japan,Yamaguti,34.05176,131.5629,Domestic,Unspecified Bird,31/01/2024
H5Nx,Asia,Eastern Asia,Japan,Hokkaidoo,43.061944,141.354444,Wild,Large-Billed Crow (Corvus Macrorhynchos),26/01/2024
H5Nx,Asia,Eastern Asia,Japan,Hokkaidoo,41.768611,140.728889,Wild,Large-Billed Crow (Corvus Macrorhynchos),26/01/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,41.7689,140.7286,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Crow,14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Chollanam-do,35.048455,126.446061,Domestic,Unspecified Bird,5/02/2024
H5N1,Asia,Western Asia,Israel,Haifa,32.4762,34.9712,Wild,Black Headed Gull (Chroicocephalus Ridibundus),22/02/2024
H5N1,Asia,South-Eastern Asia,Cambodia,Prey Veng,11.060151,105.553585,Domestic,Unspecified Bird,27/01/2024
H5N1,Asia,Western Asia,Israel,Tel Aviv,32.0167,34.7681,Wild,Yellow-Legged Gull ,27/01/2024
H5N1,Asia,Western Asia,Israel,Haifa,32.5195,34.9647,Wild,Herring Gull:larus Argentatus(Laridae),27/01/2024
H5Nx,Asia,Eastern Asia,Japan,Kumamoto,32.803056,130.707778,Wild,Large-Billed Crow (Corvus Macrorhynchos),23/01/2024
H5N5,Asia,Eastern Asia,Japan,Kumamoto,32.803,130.7078,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5Nx,Asia,Eastern Asia,Japan,Hokkaidoo,43.061944,141.354444,Wild,Large-Billed Crow (Corvus Macrorhynchos),22/01/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.642008,120.322899,Domestic,Unspecified Bird,22/01/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,42.98489,144.38172,Wild,Large-Billed Crow (Corvus Macrorhynchos),18/01/2024
H5Nx,Asia,Eastern Asia,Japan,Hokkaidoo,43.061944,141.354444,Wild,Crow,18/01/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.642008,120.322899,Domestic,Unspecified Bird,18/01/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,25.066058,121.198398,Wild,Unspecified Bird,18/01/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Crow,14/03/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,42.9848,144.3813,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,25.09952,121.22512,Domestic,Chicken,9/04/2024
H5Nx,Asia,Eastern Asia,Japan,Hokkaidoo,43.061944,141.354444,Wild,Large-Billed Crow (Corvus Macrorhynchos),17/01/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Chollanam-do,35.084862,126.844663,Domestic,Unspecified Bird,23/01/2024
H5Nx,Asia,Eastern Asia,Japan,Kumamoto,32.928056,130.559444,Wild,Peregrin Falcon:falco Peregrinus(Falconidae),16/01/2024
H5N5,Asia,Eastern Asia,Japan,Kumamoto,32.9353,130.5632,Wild,Peregrin Falcon:falco Peregrinus(Falconidae),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Chollanam-do,35.12,126.91,Wild,Goose,20/02/2024
H5N1,Asia,Eastern Asia,Japan,Gunma,36.2908,139.3761,Wild,Goshawk,19/01/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.702056,120.255583,Domestic,Unspecified Bird,14/01/2024
H5Nx,Asia,Eastern Asia,Japan,Hokkaidoo,43.061944,141.354444,Wild,Large-Billed Crow (Corvus Macrorhynchos),12/01/2024
H5N1,Asia,Eastern Asia,Taiwan (Province of China),Taiwan Sheng,23.642008,120.322899,Domestic,Unspecified Bird,12/01/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Large-Billed Crow (Corvus Macrorhynchos),14/03/2024
H5Nx,Asia,Eastern Asia,Japan,Hokkaidoo,43.061944,141.354444,Wild,Crow,11/01/2024
H5N5,Asia,Eastern Asia,Japan,Hokkaidoo,43.0619,141.3544,Wild,Corvidae (Incognita),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Chollanam-do,35.0866,127.146111,Wild,Mandarin Duck:aix Galericulata(Anatidae),23/01/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Chollanam-do,35.157154,126.73513,Wild,Mandarin Duck:aix Galericulata(Anatidae),23/01/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Kyongsangnam-do,35.309293,128.608634,Wild,Whooper Swan:cygnus Cygnus(Anatidae),23/01/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.166667,142.766667,Wild,White Tailed Eagle (Haliaeetus Albicilla),10/01/2024
H5N1,Asia,Eastern Asia,Japan,Hokkaidoo,42.1685,142.7682,Wild,White Tailed Eagle (Haliaeetus Albicilla),14/03/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Chollanam-do,35.0866,127.146111,Wild,Mandarin Duck:aix Galericulata(Anatidae),23/01/2024
H5N6,Asia,Eastern Asia,Republic of Korea,Chollanam-do,35.0866,127.146111,Wild,Mandarin Duck:aix Galericulata(Anatidae),23/01/2024
H5N1,Asia,Eastern Asia,Republic of Korea,Kyongsangbuk-do,36.248558,128.733058,Domestic,Unspecified Bird,15/01/2024
